_id,name,category,price,stock
94,Really,Misc,475.95,751
95,Author,Home,237.72,39
96,Who,Home,285.83,767
97,Will,Home,322.48,879
98,Sell,Beauty,340.55,69
99,Truth,Home,237.98,549
100,Nor,Clothing,63.4,798
101,Shake,Beauty,82.43,325
102,From,Clothing,100.18,753
103,Best,Home,445.7,604
104,Order,Clothing,467.41,409
105,Blood,Home,173.21,437
106,Break,Accessories,497.65,7
107,Design,Clothing,86.99,49
108,Citizen,Home,189.73,169
109,They,Beauty,458.79,898
110,Police,Accessories,417.3,53
111,Run,Electronics,153.32,69
112,There,Clothing,107.32,181
113,Leg,Beauty,438.35,503
114,Can,Accessories,76.83,571
115,Collection,Home,238.71,689
116,Beautiful,Electronics,174.84,91
117,Standard,Home,32.6,301
118,Teach,Electronics,227.3,488
119,Forward,Beauty,370.75,908
120,Stand,Electronics,81.8,998
121,Property,Clothing,20.48,867
122,With,Clothing,371.82,31
123,Radio,Clothing,49.36,477
124,Anyone,Beauty,259.56,744
125,Every,Clothing,55.62,588
126,Rather,Home,142.53,347
127,Morning,Electronics,145.97,232
128,Reach,Clothing,196.59,387
129,Whether,Accessories,439.7,860
130,Oil,Beauty,345.03,198
131,Mention,Home,93.52,872
132,Range,Home,59.9,994
133,Ever,Electronics,244.28,457
134,Single,Clothing,482.04,459
135,Decide,Clothing,444.17,630
136,Management,Home,131.33,761
137,Quickly,Electronics,6.82,962
138,Skin,Clothing,461.99,377
139,Deal,Accessories,281.18,221
140,Record,Beauty,401.99,234
141,Authority,Beauty,342.44,513
142,Clear,Clothing,96,964
143,Whatever,Beauty,421.98,477
144,Have,Clothing,344.81,279
145,Little,Clothing,52.51,146
146,Song,Beauty,287.61,175
147,Energy,Accessories,264.65,384
148,Wife,Home,205.76,811
149,Analysis,Home,162.34,36
150,Hold,Home,373.29,131
151,Discuss,Accessories,16.32,116
152,Meet,Home,79.99,7
153,While,Clothing,317.99,774
154,Participant,Beauty,342.12,249
155,Live,Clothing,222.27,552
156,He,Clothing,386.91,253
157,Father,Home,221.33,149
158,Health,Electronics,96.23,949
159,Nearly,Beauty,183.66,333
160,Especially,Home,323.03,600
161,Design,Beauty,188.03,557
162,Out,Beauty,48.3,457
163,Year,Electronics,381.97,758
164,Society,Electronics,412.81,370
165,Hot,Accessories,142.5,994
166,Road,Clothing,466.89,619
167,Executive,Accessories,257.48,86
168,Outside,Electronics,476.47,704
169,Show,Accessories,173.39,771
170,Loss,Beauty,139.9,501
171,Which,Home,128.46,608
172,Middle,Accessories,120.51,750
173,None,Electronics,360.78,849
174,Drop,Electronics,161.51,949
175,Yourself,Electronics,347.08,221
176,Call,Accessories,129,912
177,Explain,Beauty,368.02,354
178,Couple,Clothing,233.07,573
179,Far,Clothing,30.23,386
180,Paper,Electronics,127.7,307
181,Trouble,Clothing,426.36,129
182,Mouth,Home,80.44,581
183,Who,Home,450.01,106
184,Country,Beauty,235.64,103
185,Particular,Electronics,430.1,187
186,Others,Accessories,486.73,251
187,Fall,Home,386.14,709
188,Including,Beauty,252.75,700
189,At,Beauty,498.24,233
190,Save,Clothing,195.34,1000
191,Short,Electronics,298,0
192,Business,Clothing,374.67,35
193,Letter,Beauty,159.61,259
194,Whatever,Beauty,404.91,358
195,List,Electronics,465.25,730
196,Some,Accessories,168.65,437
197,Turn,Beauty,62.18,810
198,Lot,Home,110.03,782
199,Under,Accessories,15.24,327
200,Particular,Home,323.37,44
201,Pull,Clothing,436.33,961
202,Answer,Home,234.14,425
203,Investment,Accessories,161.21,891
204,Somebody,Electronics,288.61,575
205,Out,Clothing,144.3,299
206,Various,Clothing,11.78,859
207,Key,Electronics,319.24,243
208,Wide,Accessories,415.09,438
209,Artist,Clothing,64.89,155
210,Deal,Beauty,233.78,250
211,Nearly,Beauty,29.02,483
212,May,Electronics,187.88,751
213,Return,Clothing,382.22,528
214,Charge,Accessories,446.63,594
215,Fish,Clothing,413.26,984
216,Everything,Electronics,183.95,403
217,Language,Home,302.77,733
218,Condition,Home,160.9,662
219,Point,Electronics,213.43,11
220,Best,Beauty,419.91,666
221,Wait,Accessories,171.64,302
222,Everyone,Beauty,215.9,780
223,Raise,Electronics,106.62,531
224,Middle,Home,180.96,3
225,Population,Home,100.93,102
226,Why,Accessories,32.38,46
227,Throw,Clothing,306.54,984
228,Her,Home,64.7,106
229,Green,Clothing,140.27,119
230,Ask,Accessories,458.78,960
231,List,Beauty,367.88,804
232,View,Clothing,15.89,903
233,Board,Electronics,444,899
234,Break,Home,11.62,387
235,Court,Clothing,215.9,135
236,Either,Beauty,483.15,523
237,Assume,Electronics,283.71,137
238,Partner,Home,97.18,745
239,Technology,Clothing,379.61,902
240,Girl,Beauty,167.52,574
241,Operation,Accessories,66.46,486
242,Shake,Electronics,392.75,238
243,Very,Accessories,91.05,831
244,Bed,Accessories,142.75,780
245,Might,Accessories,368.5,256
246,Conference,Beauty,291.67,951
247,Letter,Home,86.44,594
248,Move,Clothing,400.28,961
249,Middle,Electronics,183.32,887
250,Water,Electronics,122.93,435
251,Say,Home,464.3,540
252,Pretty,Accessories,104.83,253
253,Rate,Home,456.03,629
254,Grow,Clothing,490.52,652
255,Act,Accessories,489.28,393
256,View,Beauty,85.24,194
257,Interview,Clothing,14.56,922
258,Week,Beauty,147.02,793
259,Draw,Beauty,177.09,796
260,Since,Beauty,302.75,210
261,Site,Clothing,476.49,155
262,Trip,Clothing,164.9,10
263,However,Electronics,387.29,127
264,Last,Home,171.48,129
265,Interesting,Clothing,160.56,940
266,Into,Accessories,134.97,13
267,Amount,Beauty,154.06,399
268,Occur,Electronics,238.96,931
269,Field,Accessories,107.6,149
270,Election,Home,185.21,33
271,Candidate,Home,65.31,97
272,Institution,Accessories,419.13,16
273,The,Home,294.23,293
274,Month,Home,118.4,555
275,One,Accessories,145.23,449
276,Author,Home,29.92,161
277,You,Beauty,469.66,113
278,Resource,Beauty,171.07,976
279,Form,Accessories,379.05,943
280,Reality,Accessories,85.08,63
281,Continue,Electronics,108.5,309
282,Mission,Accessories,343.47,706
283,Audience,Electronics,359.69,752
284,Effort,Electronics,24.91,739
285,First,Electronics,107.18,885
286,Mother,Beauty,269.36,895
287,Street,Accessories,432.1,378
288,Him,Home,289.36,458
289,Dark,Home,26.59,771
290,Whom,Beauty,79.72,493
291,Write,Electronics,204.11,862
292,Also,Accessories,161.05,159
293,Same,Electronics,290.42,55
294,Character,Beauty,156.37,852
295,Voice,Clothing,439.82,642
296,Day,Beauty,254.82,582
297,Role,Accessories,445.31,7
298,Into,Accessories,328.72,448
299,Almost,Electronics,341.59,241
300,Statement,Electronics,218.59,254
301,Data,Electronics,171.19,678
302,Often,Home,317.63,46
303,Good,Electronics,8.03,507
304,Story,Beauty,478.85,512
305,Seek,Misc,271.08,616
306,Name,Accessories,492.71,414
307,Choose,Clothing,409.65,65
308,Trip,Accessories,214.65,889
309,Final,Home,122.25,672
310,That,Clothing,46.44,671
311,Accept,Clothing,471.34,185
312,Or,Misc,127.92,612
313,Court,Accessories,459.39,59
314,Story,Clothing,92.77,964
315,Agreement,Electronics,370.07,768
316,Experience,Home,190.9,6
317,Win,Home,215.35,871
318,Political,Electronics,163.73,104
319,Course,Electronics,265.94,963
320,Fall,Accessories,84.43,192
321,Election,Clothing,168.95,313
322,Fish,Home,157.89,475
323,Subject,Clothing,185.23,972
324,Eight,Clothing,159.65,766
325,It,Clothing,455.73,473
326,House,Accessories,394.29,568
327,Institution,Beauty,183.96,880
328,Hold,Beauty,368.66,932
329,Around,Beauty,379.2,271
330,Anything,Accessories,198.25,704
331,Huge,Accessories,444.48,78
332,Movie,Accessories,138.31,78
333,Local,Clothing,327.19,990
334,Language,Clothing,50.9,777
335,Store,Beauty,455.72,525
336,Social,Home,11,55
337,Beyond,Electronics,460.06,334
338,Early,Beauty,290.79,29
339,Body,Home,102.96,15
340,Modern,Home,463.93,941
341,Day,Clothing,98.83,785
342,Feeling,Home,12.15,238
343,Body,Clothing,316.42,503
344,Product,Electronics,142.35,158
345,Pattern,Clothing,159.39,89
346,Program,Electronics,173.67,139
347,Small,Home,43.76,236
348,Deal,Clothing,328.05,609
349,Bank,Beauty,20.24,58
350,Beyond,Beauty,44.76,45
351,Interest,Clothing,441.84,485
352,Explain,Accessories,400.78,971
353,Cell,Clothing,193.73,436
354,Blue,Home,268.69,216
355,Image,Home,471.81,708
356,Assume,Accessories,347.84,388
357,Meet,Beauty,43.27,329
358,Level,Electronics,168.33,341
359,Music,Accessories,101.9,418
360,Even,Electronics,441.54,514
361,Product,Accessories,93.14,425
362,Past,Accessories,111.44,407
363,Among,Clothing,478.49,525
364,Cut,Accessories,84.1,60
365,Coach,Electronics,297.1,197
366,Some,Beauty,141.46,411
367,Policy,Beauty,22.56,79
368,Nice,Clothing,59.94,837
369,Cost,Accessories,20.63,415
370,Level,Beauty,488.35,274
371,Security,Accessories,481.2,429
372,Down,Electronics,334.36,980
373,Pm,Clothing,406.95,923
374,He,Electronics,409.46,260
375,Our,Accessories,353.84,675
376,Mrs,Accessories,194.48,915
377,Force,Beauty,405.82,668
378,Certain,Electronics,208.45,31
379,Newspaper,Beauty,350.36,188
380,Back,Clothing,194.35,73
381,Explain,Clothing,6.15,2
382,Religious,Home,77.13,322
383,Throw,Home,463.1,27
384,System,Home,427.65,366
385,Contain,Clothing,358.56,761
386,President,Accessories,77.2,620
387,Also,Accessories,494.96,128
388,Student,Home,476.94,500
389,Pretty,Electronics,493.17,769
390,City,Home,432.49,433
391,Fear,Electronics,115.74,168
392,Develop,Accessories,369.01,704
393,Already,Clothing,36.7,364
394,Win,Home,361.98,311
395,Head,Clothing,376.21,472
396,My,Home,71.9,651
397,Theory,Clothing,439.52,367
398,Fish,Home,495.99,418
399,Customer,Electronics,101.68,533
400,Mr,Home,158.03,372
401,Morning,Clothing,69.24,555
402,Seek,Home,351.16,440
403,Power,Accessories,312.22,210
404,Born,Accessories,197.93,736
405,Sea,Accessories,14.29,155
406,Join,Misc,353.98,656
407,Them,Accessories,84.03,689
408,Guess,Accessories,58.9,899
409,Land,Accessories,109.28,213
410,Result,Electronics,430.79,81
411,Miss,Home,7.24,358
412,Able,Beauty,298.82,405
413,Knowledge,Clothing,425.57,627
414,Along,Electronics,108.12,327
415,Power,Beauty,79.06,826
416,Often,Clothing,262.06,895
417,Debate,Clothing,472.46,848
418,Material,Home,202.28,153
419,Building,Clothing,472.88,98
420,Few,Home,181.4,622
421,Often,Electronics,55.81,746
422,Film,Clothing,222.57,93
423,Religious,Home,466.61,684
424,Figure,Electronics,159.89,173
425,Politics,Home,50.48,508
426,Already,Accessories,460.36,213
427,Direction,Home,119.95,117
428,Although,Accessories,334.8,698
429,Car,Accessories,260.63,851
430,Purpose,Accessories,215.43,261
431,Operation,Home,469.15,842
432,Past,Clothing,420.94,610
433,Congress,Accessories,157.09,626
434,Wide,Clothing,426.9,894
435,Single,Clothing,301.31,34
436,Party,Home,148.23,66
437,Little,Accessories,22.53,970
438,We,Home,117.92,744
439,Style,Accessories,370.45,99
440,Large,Clothing,100.06,966
441,Car,Accessories,396.5,929
442,Air,Home,211.93,292
443,Very,Electronics,104.75,592
444,Leave,Beauty,454.35,147
445,Billion,Beauty,439.56,835
446,Speak,Beauty,131.36,958
447,Else,Home,428.62,177
448,Something,Accessories,342.89,148
449,Not,Home,133.68,338
450,Receive,Accessories,90.46,573
451,Exist,Electronics,274.11,105
452,Few,Home,394.49,759
453,Ability,Beauty,486.02,146
454,Somebody,Home,29.74,270
455,Less,Beauty,83.75,759
456,And,Accessories,77.93,760
457,Mrs,Home,465.13,531
458,Reason,Accessories,471.35,47
459,Add,Beauty,19.07,464
460,Type,Beauty,245.59,115
461,List,Clothing,13.29,925
462,Close,Electronics,264.3,787
463,Rather,Electronics,119.22,382
464,Field,Beauty,481.03,504
465,Practice,Clothing,286.6,205
466,Open,Clothing,443.84,626
467,Staff,Accessories,484.62,276
468,Push,Clothing,416.73,263
469,Eat,Clothing,125.96,182
470,Kid,Electronics,141.8,768
471,Build,Clothing,184.38,912
472,Meeting,Home,94.77,289
473,Firm,Home,185.84,426
474,Final,Home,283.93,216
475,Along,Clothing,88.44,967
476,Check,Clothing,327.3,950
477,Special,Electronics,239.41,733
478,Foreign,Clothing,452.4,398
479,Represent,Electronics,305.89,696
480,And,Electronics,248,60
481,Form,Home,397.84,672
482,Nothing,Electronics,19.74,418
483,Same,Electronics,473.2,270
484,Day,Clothing,123.37,25
485,Director,Clothing,171.73,550
486,Least,Clothing,290.87,210
487,Commercial,Home,31.27,857
488,Mrs,Clothing,412.19,271
489,Reduce,Home,184.6,69
490,At,Beauty,323.45,826
491,Need,Beauty,91.34,846
492,Production,Beauty,461.92,974
493,Religious,Clothing,387.54,629
494,Town,Home,464.14,464
495,Require,Clothing,332.21,99
496,Election,Home,387.19,969
497,Purpose,Home,374.02,816
498,Build,Misc,343.54,34
499,Interest,Electronics,205.72,36
500,Sister,Clothing,414.32,788
501,Tell,Beauty,75.53,61
502,Stay,Beauty,201.47,520
503,Through,Electronics,330.62,416
504,Although,Home,45.24,354
505,Clear,Clothing,180.45,227
506,Point,Accessories,383.57,740
507,Able,Beauty,316.61,370
508,Room,Beauty,15.18,435
509,Nor,Clothing,366.79,779
510,Policy,Beauty,114.45,329
511,A,Clothing,480.73,781
512,Check,Home,333.05,86
513,Play,Beauty,492.68,649
514,Child,Clothing,266.67,586
515,College,Clothing,150.82,333
516,Reveal,Beauty,218.4,710
517,Southern,Clothing,394,32
518,Religious,Electronics,428.9,686
519,Heart,Clothing,335.93,999
520,View,Home,64.84,16
521,Him,Electronics,488.14,557
522,Way,Home,144.82,177
523,Tv,Clothing,364.65,59
524,Black,Beauty,308.7,712
525,Difference,Electronics,480.69,83
526,Never,Beauty,394.63,302
527,Successful,Home,405.26,300
528,Ready,Home,143.82,853
529,Plan,Electronics,125.18,504
530,Social,Home,254.09,432
531,Main,Clothing,94.26,238
532,Win,Accessories,256.81,684
533,Property,Clothing,80.44,157
534,Reflect,Misc,55.78,228
535,Despite,Beauty,187.26,546
536,Perhaps,Beauty,67.77,185
537,Work,Electronics,249.02,974
538,Necessary,Beauty,383.03,532
539,Go,Beauty,52.44,355
540,Worry,Home,166.04,145
541,Ago,Home,147.33,13
542,Order,Home,308.87,193
543,Plant,Clothing,8.79,219
544,Level,Home,384,187
545,Alone,Home,378.23,71
546,Worker,Beauty,139.32,383
547,On,Electronics,251.07,996
548,Travel,Electronics,262.3,247
549,Guy,Accessories,482.06,71
550,Professional,Beauty,181.67,67
551,Focus,Beauty,88.07,711
552,Training,Accessories,228.36,706
553,Guess,Accessories,344.04,456
554,Use,Home,493.85,21
555,Seek,Beauty,9.05,513
556,Good,Beauty,212.71,321
557,Major,Electronics,377.27,951
558,Different,Home,441.39,107
559,Perform,Accessories,83.67,263
560,Dinner,Beauty,134.16,261
561,Leg,Accessories,352.44,571
562,Deep,Clothing,352.77,579
563,Check,Beauty,358.26,967
564,Mind,Accessories,205.34,145
565,Before,Beauty,328.67,253
566,Number,Accessories,421.93,907
567,Land,Electronics,403.92,142
568,Better,Beauty,463.1,132
569,Eight,Beauty,79.67,980
570,Few,Accessories,486.59,643
571,Group,Electronics,339.27,930
572,Sometimes,Accessories,307.78,53
573,Yet,Accessories,483.67,648
574,However,Accessories,212.87,715
575,Benefit,Electronics,170.61,226
576,Analysis,Clothing,227.11,390
577,Always,Electronics,478.49,98
578,Poor,Electronics,416.42,125
579,True,Electronics,79.02,381
580,Hotel,Electronics,99.25,448
581,Yet,Clothing,111.13,956
582,Dinner,Home,69.42,743
583,Put,Electronics,497.71,484
584,Beat,Electronics,463.6,23
585,Many,Beauty,425.13,311
586,Medical,Beauty,273.46,853
587,Sense,Accessories,345.99,758
588,Their,Accessories,275.19,771
589,Read,Home,93.95,795
590,Speak,Beauty,184.93,493
591,Down,Electronics,490.64,235
592,High,Electronics,152.63,175
593,This,Clothing,487.78,744
594,Weight,Electronics,260.14,314
595,Available,Beauty,152.89,50
596,Every,Home,226.22,183
597,Same,Electronics,119.09,468
598,Magazine,Home,60.06,46
599,Economic,Electronics,351.93,34
600,Enter,Accessories,322.06,463
601,Available,Home,466.24,390
602,Dream,Accessories,295.24,179
603,Win,Accessories,32.38,909
604,Sea,Accessories,151.82,265
605,Nothing,Beauty,374.92,956
606,Popular,Accessories,160.56,300
607,Serious,Home,429.43,397
608,Suddenly,Electronics,129.58,946
609,Put,Accessories,313.58,839
610,Policy,Beauty,84.42,952
611,Put,Clothing,152.75,90
612,Investment,Clothing,429.92,879
613,Season,Electronics,203.88,126
614,Improve,Accessories,193.8,560
615,Realize,Beauty,474.29,654
616,Writer,Accessories,180.12,638
617,Candidate,Home,461.35,23
618,Medical,Electronics,196.81,587
619,Dog,Accessories,113.38,821
620,All,Clothing,383.25,587
621,Their,Accessories,306.97,808
622,Minute,Clothing,230.3,712
623,Kind,Clothing,225.57,303
624,Our,Electronics,408.86,814
625,Executive,Beauty,201.05,586
626,Can,Beauty,56.49,516
627,Spend,Electronics,160.63,206
628,Anything,Beauty,464.43,694
629,Entire,Clothing,489.68,286
630,Community,Electronics,159.38,280
631,Activity,Accessories,107.51,396
632,Person,Accessories,180.28,685
633,Available,Electronics,209.46,908
634,Say,Clothing,293.38,801
635,Scene,Home,107.15,74
636,System,Accessories,476.8,829
637,Star,Clothing,333.2,334
638,Chair,Clothing,338.58,168
639,During,Beauty,421.66,989
640,Impact,Clothing,321.33,580
641,Speak,Beauty,286.29,664
642,Shake,Electronics,172.37,400
643,Smile,Home,96.04,507
644,Media,Accessories,38.82,98
645,Sit,Electronics,225.85,605
646,Cover,Clothing,326.79,588
647,Director,Accessories,270.69,80
648,Phone,Accessories,362.38,162
649,Bag,Home,176.5,853
650,Involve,Electronics,89.91,602
651,Administration,Home,6.75,330
652,First,Beauty,308.55,628
653,Expert,Clothing,438.7,207
654,Fly,Accessories,10.22,299
655,Mean,Accessories,402.95,984
656,Authority,Home,336.87,319
657,Than,Clothing,46.52,792
658,Their,Beauty,50.34,621
659,Save,Electronics,51.45,369
660,Sign,Beauty,85.39,1
661,Detail,Clothing,220.07,850
662,Simply,Clothing,449.91,50
663,Manage,Home,149.1,404
664,Onto,Electronics,366.48,638
665,Expect,Clothing,27.29,254
666,Gun,Electronics,39.26,299
667,Animal,Clothing,239.32,589
668,Remember,Home,153.77,238
669,Grow,Home,181.28,681
670,Too,Accessories,348.04,927
671,Minute,Clothing,172.83,493
672,During,Accessories,201.82,482
673,Hair,Electronics,28.87,307
674,Administration,Accessories,322.05,675
675,Something,Home,234.26,324
676,Think,Clothing,152.16,768
677,Land,Home,268.22,212
678,Thus,Beauty,400.2,64
679,Majority,Electronics,472.22,459
680,Owner,Beauty,430.54,126
681,Thousand,Accessories,369.08,10
682,War,Accessories,287.74,95
683,Close,Electronics,424.28,414
684,Marriage,Beauty,228.42,161
685,Skin,Electronics,192.54,989
686,Glass,Misc,213.55,51
687,Find,Accessories,392.75,433
688,Hard,Home,474.93,67
689,Company,Electronics,339.56,79
690,Consumer,Electronics,194.77,576
691,Common,Clothing,384.93,694
692,Charge,Beauty,470.88,747
693,Especially,Home,36.29,576
694,Ball,Home,6.78,13
695,Across,Clothing,120.95,648
696,Factor,Home,75.48,969
697,Improve,Accessories,54.04,561
698,Wish,Accessories,86.19,792
699,Couple,Beauty,199.64,760
700,News,Clothing,78.5,430
701,Share,Clothing,382.19,810
702,Something,Clothing,41.75,83
703,Quickly,Beauty,179.89,523
704,Buy,Accessories,44.57,857
705,You,Accessories,220.21,720
706,Leader,Electronics,428.63,605
707,Near,Clothing,251.29,702
708,Total,Clothing,414.49,854
709,Serious,Beauty,83.56,435
710,You,Home,118.67,373
711,Data,Accessories,99.85,521
712,Full,Clothing,258.37,275
713,However,Electronics,76.55,418
714,Child,Accessories,6.83,904
715,Head,Clothing,469.94,899
716,She,Clothing,377.51,692
717,Today,Home,391.22,375
718,News,Accessories,493.4,118
719,Pattern,Accessories,193.1,830
720,Personal,Home,150.5,485
721,Your,Electronics,241.12,91
722,Central,Home,451.38,743
723,Drug,Electronics,405,731
724,Five,Clothing,27.76,601
725,Should,Home,333.85,989
726,Section,Clothing,446.79,666
727,Others,Home,31.36,613
728,Show,Beauty,145.44,588
729,Woman,Clothing,30.99,324
730,Stuff,Clothing,184.46,158
731,Must,Home,277.34,611
732,List,Clothing,170.11,354
733,Two,Home,127.67,529
734,Travel,Electronics,58.25,364
735,Easy,Accessories,440.12,209
736,Blue,Home,476.61,600
737,Here,Clothing,58.19,826
738,Also,Electronics,79.79,329
739,Gas,Clothing,493.49,311
740,Opportunity,Home,73.74,605
741,Adult,Beauty,40.42,581
742,Window,Home,197.83,934
743,Special,Beauty,150.22,693
744,Do,Accessories,221.34,671
745,Medical,Home,413.04,675
746,Prevent,Electronics,260.81,823
747,Wide,Home,258.32,614
748,Part,Accessories,95.15,570
749,Explain,Accessories,449.54,951
750,Yard,Electronics,285,478
751,Movement,Electronics,163.85,525
752,Else,Beauty,426.37,151
753,Believe,Clothing,338.57,935
754,Occur,Home,127.14,734
755,White,Clothing,411.74,134
756,Student,Beauty,470.07,13
757,Thing,Beauty,102.21,196
758,Over,Accessories,353.67,413
759,Few,Accessories,173.53,705
760,Something,Electronics,333.24,920
761,Factor,Accessories,204.6,447
762,Stuff,Clothing,90.79,644
763,Nation,Accessories,207.48,97
764,Today,Electronics,160.54,759
765,Yard,Clothing,449.69,555
766,No,Accessories,249.55,800
767,Strong,Home,400.78,908
768,Magazine,Home,350.85,372
769,Size,Electronics,357.36,431
770,Run,Clothing,109.04,113
771,Security,Electronics,441.63,996
772,Understand,Home,451.82,500
773,Nation,Clothing,141.09,89
774,Network,Clothing,322.72,306
775,Significant,Accessories,62.21,55
776,Door,Accessories,305.72,943
777,Together,Accessories,206.55,891
778,Sport,Accessories,82.3,737
779,Recognize,Home,65.38,216
780,Forward,Electronics,66.56,305
781,Affect,Home,133.84,769
782,New,Clothing,199.65,481
783,Son,Beauty,278.07,994
784,Significant,Beauty,454.43,4
785,Then,Home,462.37,317
786,Beyond,Clothing,312.71,474
787,Scientist,Home,452.55,337
788,Notice,Accessories,406.71,840
789,Shake,Beauty,179.62,729
790,Of,Home,171.3,270
791,Role,Electronics,54.86,358
792,Want,Clothing,187.87,201
793,Student,Home,42.41,408
794,Claim,Electronics,488.16,164
795,Head,Home,316.69,878
796,Over,Beauty,491.39,204
797,Do,Clothing,361.94,614
798,Large,Electronics,419.6,294
799,Nice,Misc,324.18,255
800,Officer,Electronics,453.98,179
801,Also,Electronics,259.92,775
802,Growth,Beauty,243.71,509
803,Turn,Clothing,210.45,569
804,Sea,Accessories,377.22,637
805,World,Beauty,271.77,334
806,Body,Beauty,220.38,669
807,Would,Home,151.29,679
808,Why,Accessories,454.22,965
809,Top,Accessories,400.37,749
810,Part,Beauty,407.6,301
811,Food,Accessories,454.53,151
812,Catch,Home,381.6,78
813,Heart,Electronics,389.01,505
814,Care,Electronics,371.15,895
815,Health,Beauty,199.02,641
816,Involve,Clothing,16.58,415
817,Though,Clothing,274.65,226
818,Allow,Clothing,153.99,781
819,Item,Clothing,156.15,762
820,Together,Electronics,107.78,661
821,Pick,Electronics,304.29,758
822,For,Accessories,258.25,520
823,Better,Accessories,438.61,452
824,Step,Accessories,489.14,466
825,Personal,Electronics,471.88,771
826,Authority,Beauty,198.36,238
827,Positive,Home,468.11,890
828,Eight,Clothing,271.67,908
829,Above,Clothing,373.08,65
830,Oil,Accessories,133.76,454
831,Personal,Home,382.41,421
832,Recently,Accessories,206.65,729
833,When,Beauty,465.76,611
834,Drop,Home,422.9,104
835,Likely,Clothing,60.59,177
836,Security,Beauty,479.14,743
837,Only,Electronics,459.16,677
838,Wall,Accessories,378.12,762
839,Medical,Clothing,162.78,920
840,Will,Beauty,327.06,427
841,Pattern,Beauty,450.39,970
842,Market,Beauty,349.3,228
843,As,Electronics,251.63,326
844,Know,Beauty,343.56,448
845,Give,Beauty,420.26,902
846,Have,Home,252.41,462
847,Street,Accessories,375.41,29
848,Customer,Home,424.45,506
849,Standard,Home,200.31,951
850,Today,Accessories,130.56,583
851,Teacher,Home,288.2,670
852,Feeling,Clothing,407.41,234
853,Police,Misc,137.49,255
854,Back,Accessories,233.93,321
855,Authority,Home,260.69,111
856,Impact,Home,137.88,908
857,Start,Beauty,137.27,499
858,Perhaps,Electronics,109.22,575
859,Author,Home,49.73,834
860,Sort,Clothing,114.55,709
861,Reality,Accessories,423.52,670
862,Show,Home,113.3,818
863,Sit,Accessories,341.84,329
864,Not,Clothing,226.57,887
865,Government,Beauty,106.01,848
866,Wait,Clothing,317.37,68
867,Item,Beauty,302.58,925
868,Amount,Home,412.2,235
869,Once,Home,151.84,17
